no,state,cases_under_investigation,cases_confirmed,cases_discarded,cases_reported_total
1,Alagoas,158,0,0,158
2,Bahia,471,35,27,533
3,Ceará,218,4,7,229
4,Maranhão,119,0,15,134
5,Paraíba,497,31,181,709
6,Pernambuco,1125,138,110,1373
7,Piauí,91,0,0,91
8,Rio Grande do Norte,133,60,15,208
9,Sergipe,172,0,0,172
10,Espírito Santo,52,0,0,52
11,Minas Gerais,8,1,39,48
12,Rio de Janeiro,122,0,0,122
13,São Paulo,18,0,0,18
14,Acre,Sem registros,Sem registros,Sem registros,Sem registros 
15,Amapá,Sem registros,Sem registros,Sem registros,Sem registros 
16,Amazonas,Sem registros,Sem registros,Sem registros,Sem registros 
17,Pará,6,0,0,6
18,Rondônia,1,0,0,1
19,Roraima,5,0,0,5
20,Tocantins,70,0,12,82
21,Distrito Federal,5,0,9,14
22,Goiás,62,0,0,62
23,Mato Grosso,110,0,37,147
24,Mato Grosso do Sul,3,0,1,4
25,Paraná,2,0,8,10
26,Santa Catarina,0,0,1,1
27,Rio Grande do Sul,0,1,0,1
